Mechanism,PopSize,NLL,Time,Success
simple,5,6983.796807810037,1.2593519687652588,True
simple,5,6983.894603349533,2.0277912616729736,True
simple,5,6983.787018271536,1.5589449405670166,True
simple,5,6983.936956943837,2.3584342002868652,True
simple,5,6983.681885570305,1.3661985397338867,True
simple,10,6984.097153033296,2.8874452114105225,True
simple,10,6983.801591332152,2.777660608291626,True
simple,10,6982.778663579298,3.686729907989502,True
simple,10,6983.838068034631,2.2681360244750977,True
simple,10,6983.693212419687,1.9886894226074219,True
simple,15,6984.469761483371,3.882689952850342,True
simple,15,6983.64749285206,1.9866712093353271,True
simple,15,6982.689252695043,4.055518865585327,True
simple,15,6983.884440626273,2.89011287689209,True
simple,15,6983.802470416512,2.6179039478302,True
simple,20,6983.651011373132,4.289932012557983,True
simple,20,6983.7360708888555,3.5969643592834473,True
simple,20,6982.832440475637,6.794001817703247,True
simple,20,6983.790782889719,7.718756914138794,True
simple,20,6983.7915387960975,2.1235387325286865,True
simple,30,6982.677363986706,7.382796287536621,True
simple,30,6983.63709008909,5.755834341049194,True
simple,30,6983.827218457586,10.738281011581421,True
simple,30,6983.797170856479,5.033554315567017,True
simple,30,6983.6440834399045,4.017678737640381,True
