Mechanism,Parameter,N,Mean,Median,Std,Min,Max,CV (%)
feedback_onion,n2,10,2.7000,2.0000,1.2517,1.0000,5.0000,46.3580
feedback_onion,N2,10,517.3000,566.5000,294.3894,125.0000,993.0000,56.9088
feedback_onion,k,10,0.0478,0.0513,0.0079,0.0373,0.0600,16.4898
feedback_onion,r21,10,0.9828,0.8989,0.5074,0.2624,1.8933,51.6295
feedback_onion,r23,10,3.0698,3.2430,0.6039,2.2100,3.7927,19.6726
feedback_onion,R21,10,0.6937,0.5699,0.2547,0.4151,1.1193,36.7219
feedback_onion,R23,10,3.7126,3.7041,0.5024,2.9749,4.3255,13.5332
feedback_onion,n_inner,10,1747.4000,1729.0000,950.4336,430.0000,3737.0000,54.3913
feedback_onion,alpha,10,0.3845,0.3396,0.1243,0.2532,0.6229,32.3344
feedback_onion,beta_k,10,0.4448,0.4352,0.0211,0.4184,0.4779,4.7331
feedback_onion,beta2_k,10,0.4816,0.4936,0.0292,0.4188,0.5092,6.0681
feedback_onion,beta3_k,10,0.2328,0.2368,0.0131,0.2071,0.2470,5.6327
fixed_burst,n2,10,4.5000,4.0000,1.6499,2.0000,8.0000,36.6648
fixed_burst,N2,10,503.3000,481.0000,242.6708,199.0000,947.0000,48.2159
fixed_burst,k,10,0.0151,0.0136,0.0046,0.0101,0.0245,30.4227
fixed_burst,r21,10,0.8012,0.8573,0.1652,0.5281,1.0465,20.6200
fixed_burst,r23,10,2.7827,2.7469,0.5386,1.9936,3.6249,19.3551
fixed_burst,R21,10,0.6770,0.6722,0.1293,0.4673,0.9024,19.0961
fixed_burst,R23,10,4.2223,4.0784,0.5388,3.6184,4.9284,12.7617
fixed_burst,burst_size,10,4.7000,4.5000,1.4944,3.0000,7.0000,31.7965
fixed_burst,alpha,10,0.4551,0.4292,0.1410,0.1920,0.6774,30.9896
fixed_burst,beta_k,10,0.4497,0.4469,0.0332,0.4013,0.5269,7.3738
fixed_burst,beta2_k,10,0.4949,0.4847,0.0426,0.4532,0.6086,8.6074
fixed_burst,beta3_k,10,0.2369,0.2379,0.0304,0.1757,0.2875,12.8143
fixed_burst_feedback_onion,n2,10,4.6000,4.0000,3.1693,1.0000,11.0000,68.8978
fixed_burst_feedback_onion,N2,10,615.1000,650.5000,175.1637,330.0000,955.0000,28.4773
fixed_burst_feedback_onion,k,10,0.0218,0.0222,0.0082,0.0100,0.0333,37.6925
fixed_burst_feedback_onion,r21,10,1.1105,0.9998,0.4242,0.5469,1.7686,38.1983
fixed_burst_feedback_onion,r23,10,2.1382,2.1791,0.6242,0.9626,2.9799,29.1947
fixed_burst_feedback_onion,R21,10,0.8176,0.8013,0.3439,0.4101,1.3824,42.0604
fixed_burst_feedback_onion,R23,10,3.7425,3.7509,0.7715,2.6565,4.8264,20.6133
fixed_burst_feedback_onion,burst_size,10,3.6000,3.5000,1.6465,2.0000,6.0000,45.7374
fixed_burst_feedback_onion,n_inner,10,1589.4000,1753.5000,781.0734,380.0000,3022.0000,49.1427
fixed_burst_feedback_onion,alpha,10,0.3826,0.4280,0.1642,0.1127,0.5981,42.9007
fixed_burst_feedback_onion,beta_k,10,0.4544,0.4500,0.0221,0.4347,0.5086,4.8701
fixed_burst_feedback_onion,beta2_k,10,0.4846,0.4716,0.0364,0.4474,0.5524,7.5180
fixed_burst_feedback_onion,beta3_k,10,0.2411,0.2295,0.0307,0.2173,0.3194,12.7360
simple,n2,10,5.5000,4.5000,4.0069,2.0000,15.0000,72.8534
simple,N2,10,520.3000,478.5000,294.6640,87.0000,923.0000,56.6335
simple,k,10,0.0354,0.0342,0.0098,0.0197,0.0497,27.5704
simple,r21,10,1.1133,0.9756,0.5110,0.5837,2.1744,45.8962
simple,r23,10,2.9389,2.9481,0.3056,2.4361,3.3757,10.4000
simple,R21,10,0.9357,0.8694,0.3407,0.4871,1.5795,36.4090
simple,R23,10,3.9741,3.8925,0.4140,3.4416,4.4954,10.4162
simple,alpha,10,0.5286,0.5177,0.0651,0.4427,0.6671,12.3174
simple,beta_k,10,0.4575,0.4567,0.0077,0.4462,0.4678,1.6767
simple,beta2_k,10,0.4918,0.4898,0.0119,0.4789,0.5207,2.4150
simple,beta3_k,10,0.2375,0.2367,0.0048,0.2310,0.2479,2.0042
